"H (A_per_meter)" 	"B (tesla)"
0 	0
25.464600000000001 	0.13997799999999999
28.148299999999999 	0.159853
30.819500000000001 	0.18060599999999999
33.465899999999998 	0.202121
36.0749 	0.22426299999999999
38.633200000000002 	0.24687000000000001
41.123100000000001 	0.26972499999999999
43.5259 	0.29257899999999998
45.823099999999997 	0.31516
48.004199999999997 	0.33726299999999998
50.092100000000002 	0.35902499999999998
52.117800000000003 	0.38070399999999999
54.112400000000001 	0.40259400000000001
56.103900000000003 	0.42498900000000001
58.107799999999997 	0.45000000000000001
60.136600000000001 	0.47499999999999998
62.2027 	0.5
64.308199999999999 	0.52500000000000002
66.413600000000002 	0.55000000000000004
68.469399999999993 	0.57499999999999996
70.425600000000003 	0.59999999999999998
72.257599999999996 	0.625
74.0398 	0.65000000000000002
75.871700000000004 	0.67500000000000004
77.852800000000002 	0.69999999999999996
80.045299999999997 	0.72499999999999998
82.362200000000001 	0.75
84.679000000000002 	0.77500000000000002
86.871600000000001 	0.80000000000000004
88.869299999999996 	0.82499999999999996
90.817300000000003 	0.84999999999999998
92.914400000000001 	0.875
95.359800000000007 	0.90000000000000002
98.285899999999998 	0.92500000000000004
101.56 	0.94999999999999996
104.98399999999999 	0.97499999999999998
108.357 	1
111.557 	1.0249999999999999
114.75700000000001 	1.05
118.205 	1.075
122.151 	1.1000000000000001
126.803 	1.125
132.214 	1.1499999999999999
138.39599999999999 	1.175
145.36099999999999 	1.2
153.23099999999999 	1.2250000000000001
162.56899999999999 	1.25
174.04599999999999 	1.2749999999999999
188.33199999999999 	1.3
206.55799999999999 	1.325
231.685 	1.3500000000000001
267.13200000000001 	1.375
316.31900000000002 	1.3999999999999999
382.91300000000001 	1.425
471.577 	1.45
587.22199999999998 	1.4750000000000001
734.76099999999997 	1.5
919.23900000000003 	1.5249999999999999
1146.24 	1.55
1421.49 	1.575
1750.6900000000001 	1.6000000000000001
2132.0799999999999 	1.6247400000000001
2533.8099999999999 	1.6479299999999999
2916.5700000000002 	1.6679999999999999
3241.0100000000002 	1.6834100000000001
3494.73 	1.69313
3772.98 	1.69831
4197.9399999999996 	1.70062
4891.7600000000002 	1.7017500000000001
5939.9700000000003 	1.70306
7281.4499999999998 	1.70475
8818.4599999999991 	1.70668
10453.200000000001 	1.7087399999999999
