"H (A_per_meter)" 	"B (tesla)"
0 	0
5.04 	0.020006300000000001
6.79 	0.040008500000000002
8.5399999999999991 	0.0600107
10.199999999999999 	0.080012799999999995
11.789999999999999 	0.10001500000000001
13.369999999999999 	0.120017
14.960000000000001 	0.140019
18.920000000000002 	0.160024
24 	0.18003
29.079999999999998 	0.20003699999999999
33.380000000000003 	0.22004199999999999
36.969999999999999 	0.24004600000000001
40.560000000000002 	0.26005099999999998
45.920000000000002 	0.28005799999999997
51.509999999999998 	0.30006500000000003
57.159999999999997 	0.32007200000000002
68.709999999999994 	0.340086
80.25 	0.360101
95.019999999999996 	0.38011899999999998
110.81 	0.40013900000000002
135.81 	0.42017100000000002
184.05000000000001 	0.44023099999999998
255.31 	0.46032099999999998
354.39999999999998 	0.48044500000000001
707.45000000000005 	0.50088900000000003
988.57000000000005 	0.51263999999999998
1381.4000000000001 	0.52129000000000003
1930.3 	0.52781
2697.4000000000001 	0.53295999999999999
3769.3000000000002 	0.53729000000000005
5267.1000000000004 	0.54130999999999996
7360.1000000000004 	0.54547000000000001
10285 	0.55023999999999995
14372 	0.55615999999999999
20083 	0.56389999999999996
28064 	0.57433000000000001
39216 	0.58862999999999999
54800 	0.60841999999999996
76576 	0.63593
